temps (s);déplacement mesuré (V)
0;0.473
0.002;0.501
0.004;0.519
0.006;0.491
0.008;0.45
0.01;0.394
0.012;0.341
0.014;0.292
0.016;0.254
0.018;0.221
0.02;0.178
0.022;0.137
0.024;0.073
0.026;-0.001
0.028;-0.092
0.03;-0.179
0.032;-0.258
0.034;-0.321
0.036;-0.365
0.038;-0.39
0.04;-0.398
0.042;-0.408
0.044;-0.408
0.046;-0.405
0.048;-0.423
0.05;-0.416
0.052;-0.426
0.054;-0.413
0.056;-0.377
0.058;-0.342
0.06;-0.283
0.062;-0.209
0.064;-0.123
0.066;-0.044
0.068;0.002
0.07;0.048
0.072;0.099
0.074;0.144
0.076;0.185
0.078;0.236
0.08;0.305
0.082;0.363
0.084;0.417
0.086;0.458
0.088;0.478
0.09;0.481
0.092;0.463
0.094;0.412
0.096;0.376
0.098;0.335
0.1;0.295
0.102;0.262
0.104;0.218
0.106;0.195
0.108;0.134
0.11;0.073
0.112;-0.008
0.114;-0.09
0.116;-0.169
0.118;-0.25
0.12;-0.293
0.122;-0.352
0.124;-0.37
0.126;-0.375
0.128;-0.382
0.13;-0.385
0.132;-0.4
0.134;-0.408
0.136;-0.423
0.138;-0.416
0.14;-0.398
0.142;-0.372
0.144;-0.314
0.146;-0.25
0.148;-0.186
0.15;-0.123
0.152;-0.054
0.154;0.002
0.156;0.05
0.158;0.088
0.16;0.124
0.162;0.172
0.164;0.229
0.166;0.295
0.168;0.348
0.17;0.407
0.172;0.442
0.174;0.463
0.176;0.447
0.178;0.427
0.18;0.386
0.182;0.351
0.184;0.32
0.186;0.267
0.188;0.244
0.19;0.226
0.192;0.18
0.194;0.139
0.196;0.063
0.198;-0.018
0.2;-0.1
0.202;-0.186
0.204;-0.242
0.206;-0.286
0.208;-0.309
0.21;-0.334
0.212;-0.344
0.214;-0.352
0.216;-0.367
0.218;-0.377
0.22;-0.405
0.222;-0.41
0.224;-0.405
0.226;-0.385
0.228;-0.344
0.23;-0.281
0.232;-0.222
0.234;-0.153
0.236;-0.097
0.238;-0.046
0.24;-0.003
0.242;0.032
0.244;0.073
0.246;0.119
0.248;0.175
0.25;0.244
0.252;0.297
0.254;0.356
0.256;0.407
0.258;0.422
0.26;0.427
0.262;0.407
0.264;0.391
0.266;0.361
0.268;0.33
0.27;0.307
0.272;0.29
0.274;0.259
0.276;0.231
0.278;0.18
0.28;0.119
0.282;0.032
0.284;-0.044
0.286;-0.123
0.288;-0.189
0.29;-0.23
0.292;-0.265
0.294;-0.288
0.296;-0.301
0.298;-0.324
0.3;-0.344
0.302;-0.375
0.304;-0.393
0.306;-0.405
0.308;-0.413
0.31;-0.395
0.312;-0.362
0.314;-0.309
0.316;-0.26
0.318;-0.204
0.32;-0.148
0.322;-0.1
0.324;-0.072
0.326;-0.029
0.328;0.007
0.33;0.063
0.332;0.122
0.334;0.18
0.336;0.241
0.338;0.305
0.34;0.348
0.342;0.381
0.344;0.402
0.346;0.389
0.348;0.379
0.35;0.363
0.352;0.338
0.354;0.328
0.356;0.32
0.358;0.3
0.36;0.254
0.362;0.218
0.364;0.167
0.366;0.101
0.368;0.015
0.37;-0.052
0.372;-0.113
0.374;-0.174
0.376;-0.209
0.378;-0.237
0.38;-0.27
0.382;-0.296
0.384;-0.314
0.386;-0.342
0.388;-0.36
0.39;-0.388
0.392;-0.393
0.394;-0.393
0.396;-0.367
0.398;-0.332
0.4;-0.293
0.402;-0.24
0.404;-0.197
